event_type,event_id,episode_id
FL,1100374,7
FL,1100375,1
FL,1100375,2
FL,1100376,1
FL,1100377,1
FL,1100378,1
FL,1100379,1
FL,1100380,1
FL,1100381,1
FL,1100382,1
FL,1100382,2
FL,1100382,3
FL,1100382,4
FL,1100383,1
FL,1100384,1
FL,1100384,2
FL,1100385,1
FL,1100385,2
FL,1100386,1
FL,1100386,2
FL,1100386,3
FL,1100387,1
FL,1100387,2
FL,1100388,1
FL,1100389,1
FL,1100390,1
FL,1100391,1
FL,1100391,2
FL,1100391,3
FL,1100391,4
FL,1100391,5
FL,1100391,6
FL,1100392,1
FL,1100393,1
FL,1100394,1
FL,1100395,1
FL,1100396,1
FL,1100396,2
FL,1100396,3
FL,1100397,1
FL,1100398,1
FL,1100399,1
FL,1100400,1
FL,1100401,1
FL,1100402,1
FL,1100403,1
FL,1100404,1
FL,1100405,1
FL,1100406,1
FL,1100407,1
FL,1100407,2
FL,1100408,1
FL,1100408,2
FL,1100409,1
FL,1100409,2
FL,1100410,1
FL,1100410,2
FL,1100411,1
FL,1100411,2
FL,1100412,1
FL,1100413,1
FL,1100414,1
FL,1100414,2
FL,1100415,1
FL,1100416,1
FL,1100417,1
FL,1100417,2
FL,1100417,3
FL,1100417,4
FL,1100417,5
FL,1100417,6
FL,1100417,7
FL,1100417,8
FL,1100418,1
FL,1100419,1
FL,1100420,1
FL,1100421,1
FL,1100421,2
FL,1100422,1
FL,1100423,1
FL,1100424,1
FL,1100425,1
FL,1100426,1
FL,1100427,1
FL,1100428,1
FL,1100429,1
FL,1100430,1
FL,1100430,2
FL,1100430,3
FL,1100430,4
FL,1100430,5
FL,1100431,1
FL,1100431,2
FL,1100432,1
FL,1100432,2
FL,1100432,3
FL,1100433,1
FL,1100433,2
FL,1100433,3
FL,1100434,1
FL,1100434,2
FL,1100434,3
FL,1100434,4
FL,1100435,1
FL,1100436,1
FL,1100437,1
FL,1100438,1
FL,1100439,1
FL,1100440,1
FL,1100440,2
FL,1100440,3
FL,1100441,1
FL,1100442,1
FL,1100443,1
FL,1100444,1
FL,1100445,1
FL,1100446,1
FL,1100447,1
FL,1100448,1
FL,1100448,2
FL,1100448,3
FL,1100449,1
FL,1100450,1
FL,1100451,1
FL,1100452,1
FL,1100452,2
FL,1100452,3
FL,1100452,4
FL,1100452,5
FL,1100452,6
FL,1100452,7
FL,1100452,8
FL,1100452,9
FL,1100452,10
FL,1100452,11
FL,1100453,1
FL,1100453,2
FL,1100453,3
FL,1100454,1
FL,1100455,1
FL,1100456,1
FL,1100456,2
FL,1100457,1
FL,1100458,1
FL,1100459,1
FL,1100459,2
FL,1100459,3
FL,1100459,4
FL,1100459,5
FL,1100460,1
FL,1100461,1
FL,1100462,1
FL,1100463,1
FL,1100464,1
FL,1100465,1
FL,1100465,2
FL,1100466,1
FL,1100467,1
FL,1100468,1
FL,1100469,1
FL,1100470,1
FL,1100470,2
FL,1100471,1
FL,1100472,1
FL,1100473,1
